id,sex,country,city,bdate
103651966,Male,Россия,Москва,Unfiled_bdate
103521464,Male,Россия,Санкт-Петербург,Unfiled_bdate
103478248,Male,Россия,Москва,Unfiled_bdate
103460759,Male,Молдова,Тирасполь,1994
103425284,Male,Россия,Санкт-Петербург,Unfiled_bdate
103375974,Male,Россия,Unfiled_city,1999
103331487,Female,Россия,Армавир,2000
103183952,Male,Россия,Санкт-Петербург,1998
103090767,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
103032830,Male,Россия,Смоленск,1997
102960731,Male,Россия,Лесной,1998
102930052,Male,Россия,Санкт-Петербург,Unfiled_bdate
102812293,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
102811639,Male,Россия,Санкт-Петербург,1996
102806352,Male,Россия,Нязепетровск,Unfiled_bdate
102783067,Male,Россия,Москва,1994
102774969,Female,Россия,Иркутск,Unfiled_bdate
102768734,Male,Россия,Ярославль,Unfiled_bdate
102753826,Male,Россия,Железнодорожный (Балашиха),1996
102658997,Male,Россия,Москва,1999
102641210,Male,Россия,Москва,Unfiled_bdate
102619986,Male,Гондурас,San Pedro Sula,Unfiled_bdate
102611137,Male,Литва,Klaipėda,1999
102598511,Female,Россия,Москва,1992
102593771,Male,Россия,Санкт-Петербург,1994
102550955,Male,Россия,Unfiled_city,Unfiled_bdate
102485042,Male,Россия,Ульяновск,Unfiled_bdate
102478168,Male,Россия,Москва,1999
102461204,Female,Россия,Unfiled_city,Unfiled_bdate
102364429,Male,Россия,Нижний Новгород,1976
102345890,Male,Россия,Фрязино,Unfiled_bdate
102309436,Male,Россия,Голицыно,1999
102281919,Female,Россия,Екатеринбург,1998
102259472,Male,Россия,Белгород,Unfiled_bdate
102226291,Male,Армения,Unfiled_city,Unfiled_bdate
102225118,Male,Россия,Томск,Unfiled_bdate
102187107,Male,Россия,Unfiled_city,1999
102155083,Male,Россия,Калининград,Unfiled_bdate
102140770,Male,Россия,Unfiled_city,Unfiled_bdate
102129500,Male,Россия,Москва,Unfiled_bdate
102112304,Male,Россия,Москва,1995
102047742,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
102029148,Female,Россия,Чусовой,Unfiled_bdate
102028931,Male,Россия,Барнаул,Unfiled_bdate
101934855,Male,США,Unfiled_city,Unfiled_bdate
101915609,Male,Вьетнам,Hanoi,Unfiled_bdate
101904301,Male,Казахстан,Алматы,1996
101900499,Male,Россия,Москва,1999
101848957,Male,Россия,Салават,1994
101836821,Male,Россия,Москва,Unfiled_bdate
101826424,Male,Россия,Воркута,1999
101801752,Female,Россия,Москва,Unfiled_bdate
101783808,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
101767113,Male,Россия,Санкт-Петербург,Unfiled_bdate
101721041,Male,Россия,Unfiled_city,1995
101589507,Male,Россия,Москва,Unfiled_bdate
101582794,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
101532507,Male,Россия,Москва,1996
101462031,Male,Unfiled_country,Unfiled_city,Unfiled_bdate
101454828,Male,Россия,Екатеринбург,Unfiled_bdate
101414761,Male,Россия,Unfiled_city,Unfiled_bdate
101402101,Female,Россия,Чита,Unfiled_bdate
